Sample 38:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.167ms
Sample 39:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.18ms
Sample 40:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 41:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 42:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 43:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 44:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.192ms
Sample 45:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.176ms
Sample 46:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.231ms
Sample 47:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.176ms
Sample 48:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.154ms
Sample 49:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.205ms
Sample 50:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.177ms
Sample 51:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.232ms
Sample 52:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.176ms
Sample 53:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.258ms
Sample 54:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.194ms
Sample 55:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.231ms
Sample 56:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.218ms
Sample 57:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.177ms
Sample 58:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.231ms
Sample 59:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.177ms
Sample 60:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.205ms
Sample 61:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.194ms
Sample 62:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.176ms
Sample 63:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.218ms
Sample 64:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 65:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.152ms
Sample 66:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 67:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
